X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2765902269777,44.9546311941166,0026XX 1ST AVE S,MP202321370,5,2023/01/27 00:00:00+00,1805,2023/01/27 00:00:00+00,2023/01/27 18:05:00+00,1732,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.27659,44.95463,-10383502.5269939,5614381.92179886,Whittier,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1210
-93.2409074721278,44.9670519678894,0006XX 22ND AVE S,MP202321535,1,2023/01/27 00:00:00+00,2135,2023/01/27 00:00:00+00,2023/01/27 21:35:00+00,1740,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.24091,44.96705,-10379530.3408783,5616335.98340013,Cedar Riverside,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1211
-93.2272680897592,44.8993453541059,0057XX 31ST AVE S,MP202321577,3,2023/01/28 00:00:00+00,13,2023/01/27 00:00:00+00,2023/01/28 00:13:00+00,2247,ASLT2,ASSLT W/DNGRS WEAPON,05 ,2023/01/28 00:00:00+00,,-93.22727,44.89935,-10378012.011841,5605689.36662165,Wenonah,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1212
-93.2448520374224,44.9572174569296,0024XX OGEMA PL,MP202321598,3,2023/01/28 00:00:00+00,45,2023/01/27 00:00:00+00,2023/01/28 00:45:00+00,2336,BURGD,BURGLARY OF DWELLING,06 ,2023/01/28 00:00:00+00,,-93.24485,44.95722,-10379969.4478515,5614788.76310889,East Phillips,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1213
-93.2905806413149,44.9564362638349,0025XX BRYANT AVE S,MP202321599,5,2023/01/27 00:00:00+00,2312,2023/01/27 00:00:00+00,2023/01/27 23:12:00+00,1830,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/28 00:00:00+00,,-93.29058,44.95644,-10385059.9328242,5614665.87277851,Lowry Hill East,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1214
-93.2790556658514,44.9058485839011,0000XX WEST MINNEHAHA PKWY,MP202321739,5,2023/01/28 00:00:00+00,309,2023/01/28 00:00:00+00,2023/01/28 03:09:00+00,253,DASLT2,2ND DEG DOMES ASLT,05 ,2023/01/28 00:00:00+00,,-93.27906,44.90585,-10383776.9783707,5606711.43103812,Tangletown,2023/01/28 00:00:00+00,2023/01/29 07:02:18+00,1215
-93.2101438693158,44.9688492357201,0033XX UNIVERSITY AVE SE,MP202319522,2,2023/01/25 00:00:00+00,1137,2023/01/25 00:00:00+00,2023/01/25 11:37:00+00,1130,ASLT2,ASSLT W/DNGRS WEAPON,05 ,2023/01/25 00:00:00+00,,-93.21014,44.96885,-10376105.7523252,5616618.76829001,Prospect Park - East River Road,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1216
-93.2971699411291,44.9780233620662,0009XX CURRIE AVE W,MP202320776,1,2023/01/26 00:00:00+00,2253,2023/01/26 00:00:00+00,2023/01/26 22:53:00+00,2253,ASLT4,ASLT4-LESS THAN SUBST HARM,05 ,2023/01/27 00:00:00+00,,-93.29717,44.97802,-10385793.4502705,5618062.37763024,Downtown West,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1217
-93.328281411145,44.9578864911466,0024XX CEDAR LN,MP202321559,5,2023/01/27 00:00:00+00,2206,2023/01/27 00:00:00+00,2023/01/27 22:06:00+00,2206,BURGD,BURGLARY OF DWELLING,06 ,2023/01/31 00:00:00+00,,-93.32828,44.95789,-10389256.7633369,5614894.01091982,Cedar - Isles - Dean,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1218
-93.2998225538737,45.0031464668316,0022XX IRVING AVE N,MP202322585,4,2023/01/29 00:00:00+00,232,2023/01/28 00:00:00+00,2023/01/29 02:32:00+00,2100,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.29982,45.00315,-10386088.7378155,5622016.84659296,Jordan,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1219
-93.2841873485058,44.961799987149,0021XX GRAND AVE S,MP202322789,5,2023/01/29 00:00:00+00,1235,2023/01/28 00:00:00+00,2023/01/29 12:35:00+00,1930,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.28419,44.9618,-10384348.2347372,5615509.67936505,Whittier,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1220
-93.2486595925682,44.970818855509,0015XX 4TH ST S,MP202323444,1,2023/01/30 00:00:00+00,1427,2023/01/29 00:00:00+00,2023/01/30 14:27:00+00,1830,TMVP,THEFT-MOTR VEH PARTS,07 ,2023/01/31 00:00:00+00,,-93.24866,44.97082,-10380393.3029583,5616928.68145733,Cedar Riverside,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1221
-93.2800843455479,44.9687904555692,0001XX 14TH ST W,MP202323536,1,2023/01/30 00:00:00+00,1302,2023/01/29 00:00:00+00,2023/01/30 13:02:00+00,442,THEFT,OTHER THEFT,07 ,2023/01/31 00:00:00+00,,-93.28008,44.96879,-10383891.4905403,5616609.51955871,Loring Park,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1222
-93.2855706938562,44.945670214939,0031XX HARRIET AVE,MP202323548,5,2023/01/30 00:00:00+00,1438,2023/01/30 00:00:00+00,2023/01/30 14:38:00+00,400,CSCR,CSC - RAPE,03 ,2023/01/31 00:00:00+00,,-93.28557,44.94567,-10384502.2279547,5612972.42478245,Whittier,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1223
-93.2787239638311,44.9015128352957,0009XX 56TH ST W,MP202323564,5,2023/01/30 00:00:00+00,1440,2022/10/04 00:00:00+00,2023/01/30 14:40:00+00,210,DASLT3,3RD DEG DOMES ASLT,05 ,2023/01/31 00:00:00+00,,-93.27872,44.90151,-10383740.053526,5606030.00069701,Windom,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1224
-93.2883105914054,44.9023658203391,0055XX LYNDALE AVE S,MP202323566,5,2023/01/30 00:00:00+00,1548,2023/01/30 00:00:00+00,2023/01/30 15:48:00+00,1315,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.28831,44.90237,-10384807.2319644,5606164.05654445,Windom,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1225
-93.2549257800528,44.9296270389032,0040XX 14TH AVE S,MP202323570,3,2023/01/30 00:00:00+00,1439,2023/01/11 00:00:00+00,2023/01/30 14:39:00+00,1000,THEFT,OTHER THEFT,07 ,2023/01/31 00:00:00+00,,-93.25493,44.92963,-10381090.8517657,5610449.49911606,Bancroft,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1226
-93.2315776396555,44.9492721048702,0029XX 28TH AVE S,MP202323621,3,2023/01/30 00:00:00+00,1427,2023/01/30 00:00:00+00,2023/01/30 14:27:00+00,1427,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.23158,44.94927,-10378491.7486716,5613538.94949616,Longfellow,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1227
-93.2498119945338,44.9705960121756,0004XX 15TH AVE S,MP202323652,1,2023/01/30 00:00:00+00,1542,2023/01/29 00:00:00+00,2023/01/30 15:42:00+00,1800,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.24981,44.9706,-10380521.5878434,5616893.61730552,Cedar Riverside,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1228
-93.2676095795379,44.9386743249253,0035XX PORTLAND AVE,MP202323693,3,2023/01/30 00:00:00+00,1648,2023/01/27 00:00:00+00,2023/01/30 16:48:00+00,1800,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.26761,44.93867,-10382502.805867,5611872.1750001,Central,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1229
-93.2880604564129,44.9528430345504,0027XX LYNDALE AVE S,MP202323726,5,2023/01/30 00:00:00+00,1725,2023/01/30 00:00:00+00,2023/01/30 17:25:00+00,1615,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.28806,44.95284,-10384779.3871159,5614100.63968805,Lowry Hill East,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1230
-93.2315314536735,45.0035748879928,0000XX QUARRY CENTER DR,MP202323732,2,2023/01/30 00:00:00+00,1910,2023/01/30 00:00:00+00,2023/01/30 19:10:00+00,1734,ASLT2,ASSLT W/DNGRS WEAPON,05 ,2023/01/31 00:00:00+00,,-93.23153,45.00357,-10378486.607329,5622084.29665351,Northeast Park,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1231
-93.2753571077906,44.9422543649101,0033XX STEVENS AVE,MP202323750,5,2023/01/30 00:00:00+00,1815,2023/01/29 00:00:00+00,2023/01/30 18:15:00+00,2000,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.27536,44.94225,-10383365.2567909,5612435.19426869,Lyndale,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1232
-93.296930218509,44.9582346365894,0024XX GIRARD AVE S,MP202323801,5,2023/01/30 00:00:00+00,1830,2023/01/30 00:00:00+00,2023/01/30 18:30:00+00,1600,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.29693,44.95823,-10385766.7645157,5614948.77918454,East Isles,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1233
-93.2323846573607,44.9483756340169,0027XX LAKE ST E,MP202323822,3,2023/01/30 00:00:00+00,1857,2023/01/30 00:00:00+00,2023/01/30 18:57:00+00,1817,THEFT,OTHER THEFT,07 ,2023/01/31 00:00:00+00,,-93.23238,44.94838,-10378581.5855096,5613397.94444364,Longfellow,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1234
-93.2781054989108,44.8949327954093,0059XX NICOLLET AVE,MP202323825,5,2023/01/30 00:00:00+00,2022,2023/01/30 00:00:00+00,2023/01/30 20:22:00+00,1750,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.27811,44.89493,-10383671.2062711,5604995.94329486,Windom,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1235
-93.2921016436012,44.9268168146218,42ND ST W / COLFAX AVE S,MP202323846,5,2023/01/30 00:00:00+00,1930,2023/01/30 00:00:00+00,2023/01/30 19:30:00+00,1710,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.2921,44.92682,-10385229.25,5610007.64,East Harriet,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1236
-93.2540947458885,44.8936938736229,0060XX 15TH AVE S,MP202323899,3,2023/01/30 00:00:00+00,2139,2023/01/30 00:00:00+00,2023/01/30 21:39:00+00,2046,BURGD,BURGLARY OF DWELLING,06 ,2023/01/31 00:00:00+00,,-93.25409,44.89369,-10380998.3415392,5604801.25917528,Diamond Lake,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1237
-93.2467043545551,44.9341168035555,0018XX 38TH ST E,MP202323949,3,2023/01/30 00:00:00+00,2231,2023/01/30 00:00:00+00,2023/01/30 22:31:00+00,2000,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.2467,44.93412,-10380175.646884,5611155.48170633,Standish,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1238
-93.2406265186328,44.94746800954,0030XX 22ND AVE S,MP202323972,3,2023/01/30 00:00:00+00,2310,2023/01/30 00:00:00+00,2023/01/30 23:10:00+00,2310,BURGD,BURGLARY OF DWELLING,06 ,2023/01/31 00:00:00+00,,-93.24063,44.94747,-10379499.0653323,5613255.18716876,Corcoran,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1239
-93.2600518069142,44.9564307104676,0025XX 10TH AVE S,MP202323989,3,2023/01/31 00:00:00+00,101,2023/01/30 00:00:00+00,2023/01/31 01:01:00+00,2330,DASTR,DOMESTIC ASSAULT/STRANGULATION,05,2023/01/31 00:00:00+00,,-93.26005,44.95643,-10381661.4784662,5614664.99916609,Midtown Phillips,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1240
-93.3004463988042,44.9889739895649,0015XX 11TH AVE N,MP202323998,4,2023/01/30 00:00:00+00,2133,2023/01/30 00:00:00+00,2023/01/30 21:33:00+00,930,AUTOTH,AUTOMOBILE THEFT,08 ,2023/01/31 00:00:00+00,,-93.30045,44.98897,-10386158.1839166,5619785.83351093,Near - North,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1241
-93.28484543452,44.9591167852708,0004XX 24TH ST W,MP202324080,5,2023/01/31 00:00:00+00,423,2023/01/31 00:00:00+00,2023/01/31 04:23:00+00,420,ROBPER,ROBBERY OF PERSON,04 ,2023/01/31 00:00:00+00,,-93.28485,44.95912,-10384421.4925225,5615087.55538072,Whittier,2023/01/31 00:00:00+00,2023/02/01 07:03:24+00,1242
