"beta0","beta1","beta2","beta3"
-3.66852049013748,-5.64229891094546,-0.848218651001261,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.528030636704292,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.528030636704292,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.472543682039189,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.472543682039189,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.472543682039189,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.472543682039189,-2.2951556311974
-3.66852049013748,-5.64229891094546,-1.02956730788384,-2.2951556311974
-3.66852049013748,-5.64229891094546,-1.02956730788384,-2.2951556311974
-3.66852049013748,-5.64229891094546,-1.02956730788384,-2.2951556311974
-3.66852049013748,-5.64229891094546,-1.02956730788384,-2.2951556311974
-3.66852049013748,-5.64229891094546,-1.02956730788384,-2.2951556311974
-3.66852049013748,-5.64229891094546,-1.02956730788384,-2.2951556311974
-3.66852049013748,-5.64229891094546,-0.728587252731275,-2.2951556311974
-3.79964138161401,-5.64229891094546,0.0218132339154441,-2.2951556311974
-3.79964138161401,-5.64229891094546,0.0218132339154441,-2.15186586715694
-3.79964138161401,-5.64229891094546,0.0218132339154441,-2.15186586715694
-3.79964138161401,-5.64229891094546,0.0218132339154441,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.156512889504474,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.156512889504474,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.0576906471035686,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.0576906471035686,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.0576906471035686,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.0576906471035686,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.64229891094546,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.62992567586681,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.62992567586681,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.62992567586681,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.62992567586681,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.62992567586681,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.87939067633444,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.473082164265167,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.473082164265167,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.473082164265167,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.473082164265167,-2.15186586715694
